"2019-10-24 18:24:01,956 [<string>:1] j"
"2019-10-26 15:51:40,625 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 4"
"2019-10-26 15:51:40,625 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 5"
"2019-10-26 15:51:40,626 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 6"
"2019-10-26 15:51:40,626 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 7"
"2019-10-26 15:51:40,627 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 8"
"2019-10-26 15:51:40,627 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 9"
"2019-10-26 15:51:40,628 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 10"
"2019-10-26 15:51:40,628 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 11"
"2019-10-26 15:51:40,629 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 12"
"2019-10-26 15:51:40,629 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 13"
"2019-10-26 15:51:40,630 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 14"
"2019-10-26 15:51:40,631 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 15"
"2019-10-26 15:51:40,631 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 16"
"2019-10-26 15:51:40,632 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 41"
"2019-10-26 15:52:14,697 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 1"
"2019-10-26 15:52:14,698 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 2"
"2019-10-26 15:52:14,699 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 3"
"2019-10-26 15:52:14,699 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 4"
"2019-10-26 15:52:14,700 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 5"
"2019-10-26 15:52:14,800 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 6 Episode 8"
"2019-10-26 16:20:36,055 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 1"
"2019-10-26 16:20:36,056 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 2"
"2019-10-26 16:20:36,056 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 3"
"2019-10-26 16:20:36,057 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 4"
"2019-10-26 16:20:36,058 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 5"
"2019-10-26 16:27:23,024 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 6 Episode 8"
"2019-10-28 18:46:51,789 [api.py:415] Failed to get info for:1399: name 'extract_episode_infos' is not defined"
"2019-10-28 18:46:51,789 [api.py:415] Failed to get info for:60735: name 'extract_episode_infos' is not defined"
"2019-10-28 18:48:55,098 [api.py:415] Failed to get info for:60735: name 'extract_episode_infos' is not defined"
"2019-10-28 18:48:55,098 [api.py:415] Failed to get info for:1399: name 'extract_episode_infos' is not defined"
"2019-10-28 18:51:25,847 [api.py:415] Failed to get info for:1399: name 'extract_episode_infos' is not defined"
"2019-10-28 22:28:00,182 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 1"
"2019-10-28 22:28:00,189 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 2"
"2019-10-28 22:28:00,189 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 3"
"2019-10-28 22:28:00,189 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 4"
"2019-10-28 22:28:00,189 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 5"
"2019-10-28 22:28:00,189 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 6"
"2019-10-28 22:28:00,193 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 7"
"2019-10-28 22:28:00,193 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 8"
"2019-10-28 22:28:00,193 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 9"
"2019-10-28 22:28:00,193 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 10"
"2019-10-28 22:28:00,193 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 11"
"2019-10-28 22:28:00,193 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 12"
"2019-10-28 22:28:00,197 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 13"
"2019-10-28 22:28:00,197 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 14"
"2019-10-28 22:28:00,197 [api.py:515] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 15"
